SalePrice,id
120129.31638285173,1461
153008.78540649835,1462
181999.667865918,1463
195952.2849978026,1464
197477.8125872035,1465
171222.8437366318,1466
178212.01779580885,1467
161123.61215957545,1468
193898.47881496898,1469
119925.604789806,1470
189952.6784780828,1471
97385.92416901965,1472
96173.51867350182,1473
146413.76269308914,1474
113408.51351352438,1475
363558.84975254466,1476
250762.12819425573,1477
294599.1815289544,1478
299293.44565708213,1479
474977.58803628694,1480
325368.5976020468,1481
210850.56526419742,1482
177057.7207100431,1483
162710.84512153693,1484
191473.7655470582,1485
193107.9617774654,1486
339866.0295461023,1487
238341.3353204836,1488
193749.60820502572,1489
231349.0659469985,1490
195044.07028414856,1491
92756.67611514167,1492
189749.5884392125,1493
299951.3792833907,1494
293285.5911212206,1495
235702.1576615435,1496
179388.3250826092,1497
167787.27829460712,1498
162374.42494970988,1499
152697.7749543966,1500
174507.692775339,1501
145503.6506212224,1502
290290.22303373436,1503
242519.03379921542,1504
225593.9751779169,1505
188193.2251987875,1506
245834.5514780434,1507
202873.92776776507,1508
163898.09777887998,1509
143480.39546743748,1510
148092.6730057099,1511
175334.355302345,1512
152363.3506562307,1513
155109.81990672945,1514
197374.40600365406,1515
157898.11081760877,1516
168347.7479253745,1517
132466.49684443168,1518
209170.4308041955,1519
127540.30850578842,1520
130083.47515553536,1521
178496.1397739455,1522
110130.51159133464,1523
125686.4470163875,1524
120266.19747097132,1525
113488.37444080878,1526
107566.1745008582,1527
137378.38934699463,1528
149722.5649900274,1529
184338.36270192437,1530
105988.75185360062,1531
98505.57943429326,1532
142816.38267748768,1533
127215.27170736801,1534
147673.90202250815,1535
106379.11563719086,1536
64977.58596862494,1537
147236.9720549623,1538
191933.55837510552,1539
94263.45850341654,1540
138707.1051419694,1541
139649.24986487295,1542
189700.5375199917,1543
85068.008481338,1544
115257.94054333334,1545
135137.9128230153,1546
127884.20576731034,1547
138708.2435573102,1548
119838.49286651284,1549
135618.02321826073,1550
108884.99981547246,1551
136390.98109602084,1552
148289.8077436696,1553
116891.82272110388,1554
160376.90131114126,1555
85485.17170699128,1556
105780.72011395861,1557
97580.45125685359,1558
63552.7680269233,1559
134335.23100407387,1560
129372.72588983337,1561
130057.34828423712,1562
117918.55506134832,1563
155071.55198099796,1564
150955.3407950722,1565
237772.53074719795,1566
76404.0750295784,1567
230818.44131562498,1568
127780.26853477267,1569
139167.54640386638,1570
123248.06659908082,1571
142090.06900251668,1572
236848.71671764113,1573
118411.1605684901,1574
228294.7333937118,1575
241692.83937702083,1576
182201.76355435676,1577
148720.3333504988,1578
144283.67460412002,1579
196843.92801768094,1580
153037.5173431955,1581
125687.59815299758,1582
295888.95713129744,1583
216154.14586810902,1584
136126.5245419615,1585
67143.73313938858,1586
104989.71874882642,1587
151179.16829745087,1588
96656.2164897681,1589
133891.4028090337,1590
92120.86640430195,1591
114189.8890627997,1592
127669.24235410152,1593
123646.9654616617,1594
107500.49085079701,1595
222575.4363111559,1596
193546.939659149,1597
227982.70331666223,1598
172656.03043455433,1599
162810.3634734947,1600
68670.57817887765,1601
117135.40853671788,1602
71358.15862846222,1603
260213.98917750374,1604
243774.23195768538,1605
168701.8701135875,1606
173316.51157346845,1607
214614.0413639863,1608
185339.24789518543,1609
150446.69880184537,1610
138184.7248064833,1611
170111.59149848693,1612
161412.0306866152,1613
128011.2169227942,1614
93618.25419454864,1615
77864.51966472303,1616
95346.84781026692,1617
124769.08143316244,1618
140093.27093942097,1619
152267.550721141,1620
138619.2405802834,1621
141655.71194439204,1622
261268.10001323366,1623
209360.6395199049,1624
120859.60722550031,1625
170452.59591000897,1626
190582.20893444953,1627
280021.09485138254,1628
184313.18863868673,1629
345037.48366736737,1630
230402.01030487774,1631
244459.26090129744,1632
174440.99603746395,1633
185156.26676201163,1634
176706.7483973536,1635
152578.34298140137,1636
199100.65915828626,1637
181426.71434846768,1638
190515.9001653976,1639
250882.9260563159,1640
183790.88245750195,1641
237825.81060509488,1642
216168.7404317164,1643
232651.6892808583,1644
196243.44301482593,1645
158437.26408653505,1646
162485.12081302618,1647
130092.84903816262,1648
138945.2624283993,1649
114357.9575302981,1650
120810.88854121086,1651
97580.96776036022,1652
99581.91815297677,1653
145872.1130276923,1654
138767.47796651232,1655
140735.73760323366,1656
147519.48764329636,1657
142980.1717541623,1658
119989.18953571926,1659
155445.6753275026,1660
419298.37808866554,1661
409959.9144741667,1662
380156.82259417407,1663
405317.02672523586,1664
304524.61387810117,1665
332727.8941430019,1666
378054.0636870631,1667
345331.79980074207,1668
314023.72191501176,1669
355979.7686123752,1670
257720.5061323645,1671
422106.3356117003,1672
290130.6274637998,1673
241744.7427118794,1674
191549.8467384341,1675
190618.29457446243,1676
217118.71217511458,1677
438373.25671008136,1678
384877.259328771,1679
328430.46831946704,1680
