Id,SalePrice
1461,123788.14886465314
1462,160906.73306265572
1463,185740.46584272932
1464,194897.81969300515
1465,192115.93229142952
1466,175745.494979217
1467,176600.99635845947
1468,167892.48346579634
1469,182184.1310467527
1470,122525.41959741409
1471,199668.49319225614
1472,96340.62341068182
1473,98641.33116463883
1474,149431.8489557164
1475,118080.94505427446
1476,358820.42472227855
1477,251756.0013219657
1478,301731.27454375545
1479,270541.7698621317
1480,445032.6980097972
1481,318954.79377005313
1482,209729.57960327694
1483,183252.01575069356
1484,166632.10192324873
1485,178336.27240182465
1486,194257.20250536833
1487,342905.6669081343
1488,229717.12515924955
1489,201973.15252181905
1490,243214.43524559308
1491,191368.9944971348
1492,91586.47215063631
1493,174327.69571831502
1494,279212.6582240373
1495,286153.0734193426
1496,248013.19653419757
1497,188844.60439299193
1498,170235.4083000134
1499,155427.94269417273
1500,158844.6571763325
1501,179550.66954826628
1502,149870.4821368255
1503,257271.34903624665
1504,240673.38322687178
1505,225513.1509152992
1506,188687.1980898004
1507,257451.80452614086
1508,208316.5397188831
1509,153820.01897912176
1510,148190.5304242255
1511,160051.83420545098
1512,175378.33693266072
1513,139141.2965952021
1514,162444.17205162402
1515,198819.91850538796
1516,151155.34888748213
1517,159591.00022486836
1518,128192.49132817386
1519,215738.42763667193
1520,132090.5851145395
1521,138845.09328124687
1522,166219.40676821247
1523,115253.44726412941
1524,126974.57412092332
1525,121642.56996095687
1526,116315.5987242285
1527,105983.77428509109
1528,127527.18548197056
1529,151953.9862564357
1530,191435.01141616429
1531,123945.85994622248
1532,95041.7875092204
1533,152029.1369563507
1534,112135.11888771676
1535,149361.20368404142
1536,109181.83257769138
1537,91723.81768888631
1538,140515.51098891423
1539,190261.8170303252
1540,97326.58298331762
1541,144397.54953809112
1542,147378.79605825283
1543,195291.72638014588
1544,85086.19631071949
1545,110878.86160230362
1546,131939.2219496901
1547,141832.65922487577
1548,138619.22888551917
1549,116733.00201449422
1550,140808.76737283438
1551,106809.253989509
1552,145052.31667654766
1553,140084.27079156492
1554,115342.62377696513
1555,170613.89658545665
1556,87978.4192643817
1557,113511.96166942571
1558,91770.10795771387
1559,86483.30488744969
1560,136818.0367644987
